orig_family,orig_name,orig_author,orig_binomial,orig_genus,orig_species,orig_infraspecies_rank,orig_infraspecies,sp6,wcvp_matched_name,wcvp_matched_authors,wcvp_matched_rank,wcvp_matched_status,wcvp_matched_plant_name_id,wcvp_matched_ipni_id,match_similarity,wcvp_accepted_plant_name_id,wcvp_accepted_powo_id,wcvp_accepted_ipni_id,wcvp_accepted_name,wcvp_accepted_name_genus,wcvp_accepted_name_species,wcvp_accepted_name_rank,wcvp_accepted_family,wcvp_accepted_name_infraspecific_rank,wcvp_accepted_name_infraspecies,wcvp_accepted_author,wcvp_accepted_authority,wcvp_lifeform_description,origmatches,row_id,wcvp_matched_name_gbif_id,wcvp_matched_name_gbif_scientificName,wcvp_matched_name_gbif_matchtype,wcvp_matched_name_gbif_status,wcvp_matched_name_gbif_acceptedScientificName,wcvp_accepted_name_gbif_id,wcvp_accepted_name_gbif_scientificName,wcvp_accepted_name_gbif_matchtype,wcvp_accepted_name_gbif_status,wcvp_accepted_name_gbif_acceptedScientificName
Moraceae,Brosimum alicastrum,Sw.,Brosimum alicastrum,Brosimum,alicastrum,,,BROSAL,Brosimum alicastrum,Sw.,Species,Accepted,2683579,850824-1,1,2683579,850824-1,850824-1,Brosimum alicastrum,Brosimum,alicastrum,Species,Moraceae,,,Sw.,Sw.,tree,TRUE,32,2984660,Brosimum alicastrum Sw.,EXACT,ACCEPTED,,2984660,Brosimum alicastrum Sw.,EXACT,ACCEPTED,
Moraceae,Brosimum costaricanum,Liebm.,Brosimum costaricanum,Brosimum,costaricanum,,,BROSCO,Brosimum costaricanum,Liebm.,Species,Accepted,2683593,850826-1,1,2683593,850826-1,850826-1,Brosimum costaricanum,Brosimum,costaricanum,Species,Moraceae,,,Liebm.,Liebm.,tree,TRUE,33,3763319,Brosimum costaricanum Liebm.,EXACT,ACCEPTED,,3763319,Brosimum costaricanum Liebm.,EXACT,ACCEPTED,
Moraceae,Brosimum guianense,(Aubl.) Lemée,Brosimum guianense,Brosimum,guianense,,,BROSGU,Brosimum guianense,(Aubl.) Huber ex Ducke,Species,Accepted,2683607,582693-1,1,2683607,582693-1,582693-1,Brosimum guianense,Brosimum,guianense,Species,Moraceae,,,Huber ex Ducke,(Aubl.) Huber ex Ducke,tree,TRUE,34,7374879,Brosimum guianense (Aubl.) Huber ex Ducke,EXACT,ACCEPTED,,7374879,Brosimum guianense (Aubl.) Huber ex Ducke,EXACT,ACCEPTED,
Moraceae,Brosimum rubescens,Taub.,Brosimum rubescens,Brosimum,rubescens,,,BROSRU,Brosimum rubescens,Taub.,Species,Accepted,2683638,37310-2,1,2683638,37310-2,37310-2,Brosimum rubescens,Brosimum,rubescens,Species,Moraceae,,,Taub.,Taub.,tree,TRUE,35,3762826,Brosimum rubescens Taub.,EXACT,ACCEPTED,,3762826,Brosimum rubescens Taub.,EXACT,ACCEPTED,
Moraceae,Brosimum utile,(Kunth) Oken,Brosimum utile,Brosimum,utile,,,BROSUT,Brosimum utile,(Kunth) Oken,Species,Accepted,2683645,582724-1,1,2683645,582724-1,582724-1,Brosimum utile,Brosimum,utile,Species,Moraceae,,,Oken,(Kunth) Oken,tree,TRUE,36,8042591,Brosimum utile (Kunth) Oken,EXACT,ACCEPTED,,8042591,Brosimum utile (Kunth) Oken,EXACT,ACCEPTED,
Fabaceae,Brownea macrophylla,Linden,Brownea macrophylla,Brownea,macrophylla,,,BROWMA,Brownea macrophylla,Linden ex Mast.,Species,Accepted,2683871,482431-1,1,2683871,482431-1,482431-1,Brownea macrophylla,Brownea,macrophylla,Species,Fabaceae,,,Linden ex Mast.,Linden ex Mast.,tree,TRUE,37,8170495,Brownea macrophylla Linden ex Mast.,EXACT,ACCEPTED,,8170495,Brownea macrophylla Linden ex Mast.,EXACT,ACCEPTED,
Malpighiaceae,Bunchosia argentea,DC.,Bunchosia argentea,Bunchosia,argentea,,,BUNCAR,Bunchosia argentea,(Jacq.) DC.,Species,Accepted,2685927,555883-1,1,2685927,555883-1,555883-1,Bunchosia argentea,Bunchosia,argentea,Species,Malpighiaceae,,,DC.,(Jacq.) DC.,shrub or tree,TRUE,38,3984105,Bunchosia argentea (Jacq.) DC.,EXACT,ACCEPTED,,3984105,Bunchosia argentea (Jacq.) DC.,EXACT,ACCEPTED,
Malpighiaceae,Bunchosia dwyeri,Cuatrec. & Croat,Bunchosia dwyeri,Bunchosia,dwyeri,,,BUNCDW,Bunchosia dwyeri,Cuatrec. & Croat,Species,Accepted,2685955,38284-2,1,2685955,38284-2,38284-2,Bunchosia dwyeri,Bunchosia,dwyeri,Species,Malpighiaceae,,,Cuatrec. & Croat,Cuatrec. & Croat,shrub or tree,TRUE,39,3983841,Bunchosia dwyeri Cuatrec. & Croat,EXACT,ACCEPTED,,3983841,Bunchosia dwyeri Cuatrec. & Croat,EXACT,ACCEPTED,
Malpighiaceae,Bunchosia nitida,(Jacq.) A.Rich.,Bunchosia nitida,Bunchosia,nitida,,,BUNCCO,Bunchosia nitida,(Jacq.) DC.,Species,Accepted,2686022,1122895-2,1,2686022,1122895-2,1122895-2,Bunchosia nitida,Bunchosia,nitida,Species,Malpighiaceae,,,DC.,(Jacq.) DC.,shrub,TRUE,40,7762264,Bunchosia nitida (Jacq.) DC.,EXACT,SYNONYM,Bunchosia nitida (Jacq.) Rich. ex A.Juss.,7762264,Bunchosia nitida (Jacq.) DC.,EXACT,SYNONYM,Bunchosia nitida (Jacq.) Rich. ex A.Juss.
Icacinaceae,Calatola costaricensis,Standl.,Calatola costaricensis,Calatola,costaricensis,,,CALACO,Calatola costaricensis,Standl.,Species,Accepted,2690875,41180-2,1,2690875,41180-2,41180-2,Calatola costaricensis,Calatola,costaricensis,Species,Metteniusaceae,,,Standl.,Standl.,tree,TRUE,41,3597030,Calatola costaricensis Standl.,EXACT,ACCEPTED,,3597030,Calatola costaricensis Standl.,EXACT,ACCEPTED,
Meliaceae,Carapa guianensis,Aubl.,Carapa guianensis,Carapa,guianensis,,,CARAGU,Carapa guianensis,Aubl.,Species,Accepted,2699327,45059-2,1,2699327,45059-2,45059-2,Carapa guianensis,Carapa,guianensis,Species,Meliaceae,,,Aubl.,Aubl.,tree,TRUE,42,3190513,Carapa guianensis Aubl.,EXACT,ACCEPTED,,3190513,Carapa guianensis Aubl.,EXACT,ACCEPTED,
Cyclanthaceae,Carludovica palmata,Ruiz & Pav.,Carludovica palmata,Carludovica,palmata,,,,Carludovica palmata,Ruiz & Pav.,Species,Accepted,301989,297578-1,1,301989,297578-1,297578-1,Carludovica palmata,Carludovica,palmata,Species,Cyclanthaceae,,,Ruiz & Pav.,Ruiz & Pav.,perennial,TRUE,43,2860922,Carludovica palmata Ruiz & Pav.,EXACT,ACCEPTED,,2860922,Carludovica palmata Ruiz & Pav.,EXACT,ACCEPTED,
Salicaceae,Casearia arborea,(Rich.) Urb.,Casearia arborea,Casearia,arborea,,,CASEAR,Casearia arborea,(Rich.) Urb.,Species,Accepted,2924233,47945-2,1,2924233,47945-2,47945-2,Casearia arborea,Casearia,arborea,Species,Salicaceae,,,Urb.,(Rich.) Urb.,shrub or tree,TRUE,44,5331149,Casearia arborea (Rich.) Urb.,EXACT,ACCEPTED,,5331149,Casearia arborea (Rich.) Urb.,EXACT,ACCEPTED,
Salicaceae,Casearia arguta,Kunth,Casearia arguta,Casearia,arguta,,,CASEA1,Casearia arguta,Kunth,Species,Accepted,2924237,779498-1,1,2924237,779498-1,779498-1,Casearia arguta,Casearia,arguta,Species,Salicaceae,,,Kunth,Kunth,shrub or tree,TRUE,45,7595115,Casearia arguta Kunth,EXACT,ACCEPTED,,7595115,Casearia arguta Kunth,EXACT,ACCEPTED,
Salicaceae,Casearia guianensis,(Aubl.) Urb.,Casearia guianensis,Casearia,guianensis,,,CASEGU,Casearia guianensis,(Aubl.) Urb.,Species,Accepted,2924402,48004-2,1,2924402,48004-2,48004-2,Casearia guianensis,Casearia,guianensis,Species,Salicaceae,,,Urb.,(Aubl.) Urb.,shrub or tree,TRUE,46,5331144,Casearia guianensis (Aubl.) Urb.,EXACT,ACCEPTED,,5331144,Casearia guianensis (Aubl.) Urb.,EXACT,ACCEPTED,
Salicaceae,Casearia sylvestris,Sw.,Casearia sylvestris,Casearia,sylvestris,,,CASESY,Casearia sylvestris,Sw.,Species,Accepted,2924655,274165-2,1,2924655,274165-2,274165-2,Casearia sylvestris,Casearia,sylvestris,Species,Salicaceae,,,Sw.,Sw.,shrub or tree,TRUE,47,5331148,Casearia sylvestris Sw.,EXACT,ACCEPTED,,5331148,Casearia sylvestris Sw.,EXACT,ACCEPTED,
