current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Ruellia metallica;Ruellia metallica;Garwood2009;Leonard;;;Leonard;Ruellia metallica;2420275;224199-2;Synonym;1;Ruellia terminalis var. terminalis;Ruellia terminalis;Acanthaceae;;3258301;77224858-1;77224858-1;;Ruellia metallica;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;5573754;Ruellia metallica Leonard;EXACT;ACCEPTED;;8297512;Ruellia terminalis var. terminalis;EXACT;ACCEPTED;
Sabicea villosa;Sabicea villosa;ForestGeo;Willd. ex Roem. & Schult.;sabivi;SABV;Willd. ex Schult.;Sabicea villosa;181293;765972-1;Accepted;1;Sabicea villosa;Sabicea villosa;Rubiaceae;Willd. ex Schult.;181293;765972-1;765972-1;climbing shrub;Sabicea villosa var. adpressa;;L;;;VRAI;FAUX;Sabicea villosa;VRAI;Climbing;Garwood2009;2900221;Sabicea villosa Willd. ex Schult.;EXACT;ACCEPTED;;2900221;Sabicea villosa Willd. ex Schult.;EXACT;ACCEPTED;
Saccharum officinarum;Saccharum officinarum;Garwood2009;L.;;;L.;Saccharum officinarum;439977;419977-1;Accepted;1;Saccharum officinarum;Saccharum officinarum;Poaceae;L.;439977;419977-1;419977-1;perennial or rhizomatous geophyte;Saccharum officinarum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2703912;Saccharum officinarum L.;EXACT;ACCEPTED;;2703912;Saccharum officinarum L.;EXACT;ACCEPTED;
Saccharum spontaneum;Saccharum spontaneum;Garwood2009;L.;;;L.;Saccharum spontaneum;440049;420031-1;Accepted;1;Saccharum spontaneum;Saccharum spontaneum;Poaceae;L.;440049;420031-1;420031-1;perennial or rhizomatous geophyte;Saccharum spontaneum;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2703935;Saccharum spontaneum L.;EXACT;ACCEPTED;;2703935;Saccharum spontaneum L.;EXACT;ACCEPTED;
Sacciolepis striata;Sacciolepis striata;Garwood2009;(L.) Nash;;;(L.) Nash;Sacciolepis striata;440157;225091-2;Accepted;1;Sacciolepis striata;Sacciolepis striata;Poaceae;(L.) Nash;440157;225091-2;225091-2;perennial;Sacciolepis striata;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2703628;Sacciolepis striata (L.) Nash;EXACT;ACCEPTED;;2703628;Sacciolepis striata (L.) Nash;EXACT;ACCEPTED;
Saccoloma elegans;Saccoloma elegans subsp. chartaceum;Garwood2009;Kaulf.;;;G.B.Nair ex Cremers & K.U.Kramer;Saccoloma elegans;3146559;30249197-2;Accepted;1;Saccoloma elegans;Saccoloma chartaceum;Saccolomataceae;Kaulf.;3146559;30249197-2;30249197-2;perennial;Saccoloma elegans subsp. chartaceum;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;7265847;Saccoloma elegans Kaulf.;EXACT;ACCEPTED;;7265847;Saccoloma elegans Kaulf.;EXACT;ACCEPTED;
Sagittaria lancifolia;Sagittaria lancifolia;Garwood2009;L.;;;L.;Sagittaria lancifolia;287245;58516-1;Accepted;1;Sagittaria lancifolia;Sagittaria lancifolia;Alismataceae;L.;287245;58516-1;58516-1;rhizomatous geophyte or helophyte;Sagittaria lancifolia;;Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;5328895;Sagittaria lancifolia L.;EXACT;ACCEPTED;;5328895;Sagittaria lancifolia L.;EXACT;ACCEPTED;
Salvia occidentalis;Salvia occidentalis;Garwood2009;Sw.;;;Sw.;Salvia occidentalis;183338;456822-1;Accepted;1;Salvia occidentalis;Salvia occidentalis;Lamiaceae;Sw.;183338;456822-1;456822-1;annual;Salvia occidentalis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2927014;Salvia occidentalis Sw.;EXACT;ACCEPTED;;2927014;Salvia occidentalis Sw.;EXACT;ACCEPTED;
Salvinia radula;Salvinia radula;Garwood2009;Baker;;;Baker;Salvinia radula;3158170;227111-2;Synonym;1;Salvinia auriculata;Salvinia auriculata;Salviniaceae;Aubl.;3145476;17219800-1;17219800-1;hydroperennial;Salvinia radula;;Ha;;;VRAI;FAUX;;FAUX;;Garwood2009;5579461;Salvinia radula Baker;EXACT;SYNONYM;Salvinia auriculata Aubl.;5274861;Salvinia auriculata Aubl.;EXACT;ACCEPTED;
Sapium glandulosum;Sapium glandulosum;ForestGeo;(L.) Morong;sapiau;SAPG;(L.) Morong;Sapium glandulosum;184338;227503-2;Accepted;1;Sapium glandulosum;Sapium glandulosum;Euphorbiaceae;(L.) Morong;184338;227503-2;227503-2;tree;Sapium glandulosum;"Sapium caudatum Pittier sensu Croat (1978); Sapium aucuparium Jacq.";T;;bci50ha, bci10ha, bci25ha, P11, Drayton, Pearson, P10, P12, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5379918;Sapium glandulosum (L.) Morong;EXACT;ACCEPTED;;5379918;Sapium glandulosum (L.) Morong;EXACT;ACCEPTED;
Saurauia yasicae;Saurauia yasicae;ForestGeo;Loes.;saurla;SAUY;Loes.;Saurauia yasicae;2491123;228173-2;Accepted;1;Saurauia yasicae;Saurauia yasicae;Actinidiaceae;Loes.;2491123;228173-2;228173-2;shrub or tree;Saurauia yasicae;Saurauia laevigata Triana & Planch. sensu Croat (1978);M;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7270715;Saurauia yasicae Loes.;EXACT;ACCEPTED;;7270715;Saurauia yasicae Loes.;EXACT;ACCEPTED;
Scaphyglottis behrii;Scaphyglottis behrii;Garwood2009;(Rchb.f.) Hemsl.;;;(Rchb.f.) Benth. & Hook.f. ex Hemsl.;Scaphyglottis behrii;186710;1215022-2;Accepted;1;Scaphyglottis behrii;Scaphyglottis behrii;Orchidaceae;(Rchb.f.) Benth. & Hook.f. ex Hemsl.;186710;1215022-2;1215022-2;pseudobulbous epiphyte;Scaphyglottis behrii;Scaphyglottis graminifolia (Ruiz & Pav.) Poepp. & Endl. sensu Croat (1978);E;;;VRAI;FAUX;;FAUX;;Garwood2009;2847177;Scaphyglottis behrii (Rchb.f.) Benth. & Hook.f. ex Hemsl.;EXACT;ACCEPTED;;2847177;Scaphyglottis behrii (Rchb.f.) Benth. & Hook.f. ex Hemsl.;EXACT;ACCEPTED;
Scaphyglottis longicaulis;Scaphyglottis longicaulis;Zotz;S.Watson;;;S.Watson;Scaphyglottis longicaulis;186765;228821-2;Accepted;1;Scaphyglottis longicaulis;Scaphyglottis longicaulis;Orchidaceae;S.Watson;186765;228821-2;228821-2;pseudobulbous epiphyte;Scaphyglottis longicaulis;;E;Scaphyglottis longicaulis;;VRAI;FAUX;;FAUX;;Zotz;2847103;Scaphyglottis longicaulis S.Watson;EXACT;ACCEPTED;;2847103;Scaphyglottis longicaulis S.Watson;EXACT;ACCEPTED;
Scaphyglottis prolifera;Scaphyglottis prolifera;Zotz;Cogn.;;;(R.Br.) Cogn.;Scaphyglottis prolifera;186788;228831-2;Accepted;1;Scaphyglottis prolifera;Scaphyglottis prolifera;Orchidaceae;(R.Br.) Cogn.;186788;228831-2;228831-2;pseudobulbous epiphyte;Scaphyglottis prolifera;;E;Scaphyglottis prolifera;;VRAI;FAUX;;FAUX;;Zotz;2847042;Scaphyglottis prolifera (R.Br.) Cogn.;EXACT;ACCEPTED;;2847042;Scaphyglottis prolifera (R.Br.) Cogn.;EXACT;ACCEPTED;
Schistocarpha eupatorioides;Schistocarpha eupatorioides;Garwood2009;(Fenzl) Kuntze;;;(Fenzl) Kuntze;Schistocarpha eupatorioides;3125397;987251-1;Accepted;1;Schistocarpha eupatorioides;Schistocarpha eupatorioides;Asteraceae;(Fenzl) Kuntze;3125397;987251-1;987251-1;subshrub or shrub;Schistocarpha eupatorioides;Schistocarpha oppositifolia (Kuntze) Rydb.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3105021;Schistocarpha eupatorioides (Fenzl) Kuntze;EXACT;ACCEPTED;;3105021;Schistocarpha eupatorioides (Fenzl) Kuntze;EXACT;ACCEPTED;
Schizachyrium brevifolium;Schizachyrium brevifolium;Garwood2009;(Sw.) Nees ex Büse;;;(Sw.) Nees ex Buse;Schizachyrium brevifolium;441284;1126606-2;Accepted;1;Schizachyrium brevifolium;Schizachyrium brevifolium;Poaceae;(Sw.) Nees ex Buse;441284;1126606-2;1126606-2;annual;Schizachyrium brevifolium;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;8303121;Schizachyrium brevifolium (Sw.) Nees ex Buse;EXACT;ACCEPTED;;8303121;Schizachyrium brevifolium (Sw.) Nees ex Buse;EXACT;ACCEPTED;
Schizachyrium microstachyum;Schizachyrium microstachyum;Garwood2009;(Desv. ex Ham.) Roseng., B.R.Arrill. & Izag.;;;(Desv.) Roseng., B.R.Arrill. & Izag.;Schizachyrium microstachyum;441345;420918-1;Accepted;1;Schizachyrium microstachyum;Schizachyrium microstachyum;Poaceae;(Desv.) Roseng., B.R.Arrill. & Izag.;441345;420918-1;420918-1;perennial;Schizachyrium microstachyum;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;4124635;Schizachyrium microstachyum (Desv.) Roseng., B.R.Arrill. & Izag.;EXACT;ACCEPTED;;4124635;Schizachyrium microstachyum (Desv.) Roseng., B.R.Arrill. & Izag.;EXACT;ACCEPTED;
Schizaea elegans;Schizaea elegans;Garwood2009;(Vahl) Sm.;;;(Vahl) Sw.;Schizaea elegans;3145381;17220460-1;Accepted;1;Schizaea elegans;Schizaea elegans;Schizaeaceae;(Vahl) Sw.;3145381;17220460-1;17220460-1;;Schizaea elegans;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2650558;Schizaea elegans (Vahl) Sw.;EXACT;ACCEPTED;;2650558;Schizaea elegans (Vahl) Sw.;EXACT;ACCEPTED;
Schizolobium parahyba;Schizolobium parahyba;ForestGeo;(Vell.) S.F. Blake;schipa;SCHP;(Vell.) S.F.Blake;Schizolobium parahyba;2490966;517988-1;Accepted;1;Schizolobium parahyba;Schizolobium parahyba;Fabaceae;(Vell.) S.F.Blake;2490966;517988-1;517988-1;tree;Schizolobium parahyba;Schizolobium parahybum, orth. var. (Croat 1978);T;;bci50ha, bci25ha, Zetek;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2945453;Schizolobium parahyba (Vell.) S.F.Blake;EXACT;ACCEPTED;;2945453;Schizolobium parahyba (Vell.) S.F.Blake;EXACT;ACCEPTED;
Schnella guianensis;Schnella guianensis;ForestGeo;(Aubl.) Wunderlin;bauhgu;BAUG;(Aubl.) Wunderlin;Schnella guianensis;2905142;77111925-1;Accepted;1;Schnella guianensis;Schnella guianensis;Fabaceae;(Aubl.) Wunderlin;2905142;77111925-1;77111925-1;climber;Bauhinia guianensis;;L;;;VRAI;FAUX;Schnella guianensis;VRAI;Climbing;Garwood2009;4929144;Schnella guianensis (Aubl.) Wunderlin;EXACT;ACCEPTED;;4929144;Schnella guianensis (Aubl.) Wunderlin;EXACT;ACCEPTED;
Schnella reflexa;Schnella reflexa;ForestGeo;(Schery) Wunderlin;bauhre;BAUR;(Schery) Wunderlin;Schnella reflexa;2905134;77111933-1;Accepted;1;Schnella reflexa;Schnella reflexa;Fabaceae;(Schery) Wunderlin;2905134;77111933-1;77111933-1;climber;Bauhinia reflexa;;L;;;VRAI;FAUX;Schnella reflexa;VRAI;Climbing;Garwood2009;8193417;Schnella reflexa (Schery) Wunderlin;EXACT;ACCEPTED;;8193417;Schnella reflexa (Schery) Wunderlin;EXACT;ACCEPTED;
Schwackaea cupheoides;Schwackaea cupheoides;Garwood2009;(Benth.) Cogn.;;;(Benth.) Cogn.;Schwackaea cupheoides;3023049;230058-2;Accepted;1;Schwackaea cupheoides;Schwackaea cupheoides;Melastomataceae;(Benth.) Cogn.;3023049;230058-2;230058-2;;Schwackaea cupheoides;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3859446;Schwackaea cupheoides (Benth.) Cogn.;EXACT;ACCEPTED;;3859446;Schwackaea cupheoides (Benth.) Cogn.;EXACT;ACCEPTED;
Sciadotenia nitida;Sciadotenia nitida;ForestGeo;(L. Riley) Krukoff & Barneby;sci1ni;;(L.Riley) Krukoff & Barneby;Sciadotenia nitida;2601495;230118-2;Accepted;1;Sciadotenia nitida;Sciadotenia nitida;Menispermaceae;(L.Riley) Krukoff & Barneby;2601495;230118-2;230118-2;climber;Sciadotenia nitida;;V;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;3830126;Sciadotenia nitida (L.Riley) Krukoff & Barneby;EXACT;ACCEPTED;;3830126;Sciadotenia nitida (L.Riley) Krukoff & Barneby;EXACT;ACCEPTED;
Scleria eggersiana;Scleria eggersiana;Garwood2009;Boeck.;;;Boeckeler;Scleria eggersiana;265328;284753-2;Accepted;1;Scleria eggersiana;Scleria eggersiana;Cyperaceae;Boeckeler;265328;284753-2;284753-2;perennial or rhizomatous geophyte;Scleria eggersiana;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2712456;Scleria eggersiana Boeckeler;EXACT;ACCEPTED;;2712456;Scleria eggersiana Boeckeler;EXACT;ACCEPTED;
Scleria macrophylla;Scleria macrophylla;Garwood2009;J. Presl & C.Presl;;;J.Presl & C.Presl;Scleria macrophylla;265495;314849-1;Accepted;1;Scleria macrophylla;Scleria macrophylla;Cyperaceae;J.Presl & C.Presl;265495;314849-1;314849-1;perennial or rhizomatous geophyte;Scleria macrophylla;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2712441;Scleria macrophylla J.Presl & C.Presl;EXACT;ACCEPTED;;2712441;Scleria macrophylla J.Presl & C.Presl;EXACT;ACCEPTED;
Scleria melaleuca;Scleria melaleuca;Garwood2009;Rchb. ex Schltdl. & Cham.;;;Rchb. ex Schltdl. & Cham.;Scleria melaleuca;265505;314860-1;Synonym;1;Scleria gaertneri;Scleria gaertneri;Cyperaceae;Raddi;460973;60456395-2;60456395-2;perennial or rhizomatous geophyte;Scleria melaleuca;Scleria pterota C. Presl, nom. nud.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2712839;Scleria melaleuca Rchb. ex Schltdl. & Cham.;EXACT;SYNONYM;Scleria gaertneri Raddi;6311944;Scleria gaertneri Raddi;EXACT;ACCEPTED;
Scleria mitis;Scleria mitis;Garwood2009;P. J. Bergius;;;P.J.Bergius;Scleria mitis;265531;329992-2;Accepted;1;Scleria mitis;Scleria mitis;Cyperaceae;P.J.Bergius;265531;329992-2;329992-2;perennial or rhizomatous geophyte;Scleria mitis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2712617;Scleria mitis P.J.Bergius;EXACT;ACCEPTED;;2712617;Scleria mitis P.J.Bergius;EXACT;ACCEPTED;
Scleria secans;Scleria secans;Garwood2009;(L.) Urb.;;;(L.) Urb.;Scleria secans;265698;230730-2;Accepted;1;Scleria secans;Scleria secans;Cyperaceae;(L.) Urb.;265698;230730-2;230730-2;perennial or rhizomatous geophyte;Scleria secans;;V;;;VRAI;FAUX;;FAUX;;Garwood2009;2712691;Scleria secans (L.) Urb.;EXACT;ACCEPTED;;2712691;Scleria secans (L.) Urb.;EXACT;ACCEPTED;
Scoparia dulcis;Scoparia dulcis;Garwood2009;L.;;;L.;Scoparia dulcis;2585469;230902-2;Accepted;1;Scoparia dulcis;Scoparia dulcis;Plantaginaceae;L.;2585469;230902-2;230902-2;annual or subshrub;Scoparia dulcis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3171787;Scoparia dulcis L.;EXACT;ACCEPTED;;3171787;Scoparia dulcis L.;EXACT;ACCEPTED;
Scyphostelma filisepalum;Scyphostelma filisepalum;ForestGeo;(Standl.) Liede & Meve;liedfi;;(Standl.) Liede & Meve;Scyphostelma filisepalum;511495;77132646-1;Accepted;1;Scyphostelma filisepalum;Scyphostelma filisepalum;Apocynaceae;(Standl.) Liede & Meve;511495;77132646-1;77132646-1;climber;;;;;;VRAI;;Scyphostelma filisepalum;VRAI;Climbing;Lianas;8279212;Scyphostelma filisepalum (Standl.) Liede & Meve;EXACT;ACCEPTED;;8279212;Scyphostelma filisepalum (Standl.) Liede & Meve;EXACT;ACCEPTED;
Securidaca diversifolia;Securidaca diversifolia;ForestGeo;(L.) S.F. Blake;secudi;SECD;(L.) S.F.Blake;Securidaca diversifolia;2599353;231560-2;Accepted;1;Securidaca diversifolia;Securidaca diversifolia;Polygalaceae;(L.) S.F.Blake;2599353;231560-2;231560-2;scrambling shrub or tree;Securidaca diversifolia;;L;;;VRAI;FAUX;Securidaca diversifolia;VRAI;Climbing;Garwood2009;5421445;Securidaca diversifolia (L.) S.F.Blake;EXACT;ACCEPTED;;5421445;Securidaca diversifolia (L.) S.F.Blake;EXACT;ACCEPTED;
Securidaca tenuifolia;Securidaca tenuifolia;ForestGeo;Chodat;secute;;Chodat;Securidaca tenuifolia;2588371;231604-2;Accepted;1;Securidaca tenuifolia;Securidaca tenuifolia;Polygalaceae;Chodat;2588371;231604-2;231604-2;climber;Securidaca tenuifolia;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;5658078;Securidaca tenuifolia Chodat;EXACT;ACCEPTED;;5658078;Securidaca tenuifolia Chodat;EXACT;ACCEPTED;
Selaginella arthritica;Selaginella arthritica;Garwood2009;Alston;;;Alston;Selaginella arthritica;3138365;231988-2;Accepted;1;Selaginella arthritica;Selaginella arthritica;Selaginellaceae;Alston;3138365;231988-2;231988-2;;Selaginella arthritica;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3710316;Selaginella arthritica Alston;EXACT;ACCEPTED;;3710316;Selaginella arthritica Alston;EXACT;ACCEPTED;
Selaginella exaltata;Selaginella exaltata;Garwood2009;(Kunze) Spring;;;(Kuntze) Spring;Selaginella exaltata;3138621;77186589-1;Accepted;1;Selaginella exaltata;Selaginella exaltata;Selaginellaceae;(Kuntze) Spring;3138621;77186589-1;77186589-1;;Selaginella exaltata;;V;;;VRAI;FAUX;;FAUX;;Garwood2009;7897088;Selaginella exaltata (Kunze) Spring;EXACT;ACCEPTED;;7897088;Selaginella exaltata (Kunze) Spring;EXACT;ACCEPTED;
Selaginella flagellata;Selaginella flagellata;Garwood2009;Spring;;;Spring;Selaginella flagellata;3138640;232097-2;Accepted;1;Selaginella flagellata;Selaginella flagellata;Selaginellaceae;Spring;3138640;232097-2;232097-2;;Selaginella flagellata;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;3710367;Selaginella flagellata (L.) Spring;EXACT;ACCEPTED;;3710367;Selaginella flagellata (L.) Spring;EXACT;ACCEPTED;
Selaginella haematodes;Selaginella haematodes;Garwood2009;(Kunze) Spring;;;(Kunze) Spring;Selaginella haematodes;3138672;77186634-1;Accepted;1;Selaginella haematodes;Selaginella haematodes;Selaginellaceae;(Kunze) Spring;3138672;77186634-1;77186634-1;;Selaginella haematodes;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;4940392;Selaginella haematodes (Kunze) Spring;EXACT;ACCEPTED;;4940392;Selaginella haematodes (Kunze) Spring;EXACT;ACCEPTED;
Selaginella horizontalis;Selaginella horizontalis;Garwood2009;(C.Presl) Spring;;;(C.Presl) Spring;Selaginella horizontalis;3138701;77186619-1;Accepted;1;Selaginella horizontalis;Selaginella horizontalis;Selaginellaceae;(C.Presl) Spring;3138701;77186619-1;77186619-1;;Selaginella horizontalis;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;7864342;Selaginella horizontalis (C.Presl) Spring;EXACT;ACCEPTED;;7864342;Selaginella horizontalis (C.Presl) Spring;EXACT;ACCEPTED;
Selaginella mollis;Selaginella mollis;Garwood2009;A.Braun;;;A.Braun;Selaginella mollis;3138820;232178-2;Accepted;1;Selaginella mollis;Selaginella mollis;Selaginellaceae;A.Braun;3138820;232178-2;232178-2;;Selaginella mollis;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;8184076;Selaginella mollis A.Braun;EXACT;ACCEPTED;;8184076;Selaginella mollis A.Braun;EXACT;ACCEPTED;
Senegalia hayesii;Senegalia hayesii;ForestGeo;(Benth.) Britton & Rose;acacha;ACAH;(Benth.) Britton & Rose;Senegalia hayesii;2590669;518260-1;Accepted;1;Senegalia hayesii;Senegalia hayesii;Fabaceae;(Benth.) Britton & Rose;2590669;518260-1;518260-1;scrambling shrub or tree;Senegalia hayesii;"Acacia hayesii Benth.; Incl. Acacia acanthophylla (Britton & Rose) Standl.";L;;;VRAI;FAUX;Senegalia hayesii;VRAI;Climbing;Garwood2009;2981234;Senegalia hayesii (Benth.) Britton & Rose;EXACT;ACCEPTED;;2981234;Senegalia hayesii (Benth.) Britton & Rose;EXACT;ACCEPTED;
Senegalia polyphylla;Senegalia polyphylla;ForestGeo;(DC.) Britton & Rose;sen1po;;(DC.) Britton & Rose;Senegalia polyphylla;2590777;518289-1;Accepted;1;Senegalia polyphylla;Senegalia polyphylla;Fabaceae;(DC.) Britton & Rose;2590777;518289-1;518289-1;scrambling tree;Senegalia polyphylla;"Acacia glomerosa Benth. (Croat 1978); Acacia polyphylla DC. (Correa et al. 2004)";M;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2980360;Senegalia polyphylla (DC.) Britton & Rose;EXACT;ACCEPTED;;2980360;Senegalia polyphylla (DC.) Britton & Rose;EXACT;ACCEPTED;
Senegalia riparia;Senegalia riparia;ForestGeo;(Kunth) Britton & Rose;acacri;ACAR;(Kunth) Britton & Rose;Senegalia riparia;2590797;518296-1;Accepted;1;Senegalia riparia;Senegalia riparia;Fabaceae;(Kunth) Britton & Rose;2590797;518296-1;518296-1;liana;Senegalia riparia;"Acacia riparia Kunth (Croat 1978; Correa et al. 2004)";L;;;VRAI;FAUX;Senegalia riparia;VRAI;Climbing;Garwood2009;2978843;Senegalia riparia (Kunth) Britton & Rose;EXACT;ACCEPTED;;2978843;Senegalia riparia (Kunth) Britton & Rose;EXACT;ACCEPTED;
Senna bacillaris;Senna bacillaris;ForestGeo;(L.f.) H.S. Irwin & Barneby;sennba;;(L.f.) H.S.Irwin & Barneby;Senna bacillaris;2490625;234415-2;Accepted;1;Senna bacillaris;Senna bacillaris;Fabaceae;(L.f.) H.S.Irwin & Barneby;2490625;234415-2;234415-2;shrub or tree;Senna bacillaris;;U;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2957751;Senna bacillaris (L.f.) H.S.Irwin & Barneby;EXACT;ACCEPTED;;2957751;Senna bacillaris (L.f.) H.S.Irwin & Barneby;EXACT;ACCEPTED;
Senna dariensis;Senna dariensis;ForestGeo;(Britton & Rose) H.S. Irwin & Barneby;sennda;SEND;(Britton & Rose) H.S.Irwin & Barneby;Senna dariensis;2590593;911330-1;Accepted;1;Senna dariensis;Senna dariensis;Fabaceae;(Britton & Rose) H.S.Irwin & Barneby;2590593;911330-1;911330-1;shrub or tree;Senna dariensis var. gatunensis;Cassia fruticosa Mill. var. gatunensis (Britton) Schery;U;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2956921;Senna dariensis (Britton & Rose) H.S.Irwin & Barneby;EXACT;ACCEPTED;;2956921;Senna dariensis (Britton & Rose) H.S.Irwin & Barneby;EXACT;ACCEPTED;
Senna obtusifolia;Senna obtusifolia;Garwood2009;(L.) H.S. Irwin & Barneby;;;(L.) H.S.Irwin & Barneby;Senna obtusifolia;2490482;234560-2;Accepted;1;Senna obtusifolia;Senna obtusifolia;Fabaceae;(L.) H.S.Irwin & Barneby;2490482;234560-2;234560-2;annual, perennial or subshrub;Senna obtusifolia;Cassia obtusifolia L.;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;2957408;Senna obtusifolia (L.) H.S.Irwin & Barneby;EXACT;ACCEPTED;;2957408;Senna obtusifolia (L.) H.S.Irwin & Barneby;EXACT;ACCEPTED;
Senna reticulata;Senna reticulata;ForestGeo;(Willd.) H.S. Irwin & Barneby;sennre;SENR;(Willd.) H.S.Irwin & Barneby;Senna reticulata;2475867;234636-2;Accepted;1;Senna reticulata;Senna reticulata;Fabaceae;(Willd.) H.S.Irwin & Barneby;2475867;234636-2;234636-2;shrub or tree;Senna reticulata;Cassia reticulata Willd.;Hw;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;2957303;Senna reticulata (Willd.) H.S.Irwin & Barneby;EXACT;ACCEPTED;;2957303;Senna reticulata (Willd.) H.S.Irwin & Barneby;EXACT;ACCEPTED;
Senna undulata;Senna undulata;ForestGeo;(Benth.) H.S. Irwin & Barneby;sennun;SENU;(Benth.) H.S.Irwin & Barneby;Senna undulata;2491743;234686-2;Accepted;1;Senna undulata;Senna undulata;Fabaceae;(Benth.) H.S.Irwin & Barneby;2491743;234686-2;234686-2;climber;Senna undulata;Cassia undulata Benth.;Sw;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;2957590;Senna undulata (Benth.) H.S.Irwin & Barneby;EXACT;ACCEPTED;;2957590;Senna undulata (Benth.) H.S.Irwin & Barneby;EXACT;ACCEPTED;
Serjania atrolineata;Serjania atrolineata;ForestGeo;C. Wright;serjat;SERA;C.Wright;Serjania atrolineata;2582575;784907-1;Accepted;1;Serjania atrolineata;Serjania atrolineata;Sapindaceae;C.Wright;2582575;784907-1;784907-1;liana;Serjania atrolineata;;L;;;VRAI;FAUX;Serjania atrolineata;VRAI;Climbing;Garwood2009;7265058;Serjania atrolineata Wright;EXACT;ACCEPTED;;7265058;Serjania atrolineata Wright;EXACT;ACCEPTED;
Serjania circumvallata;Serjania circumvallata;ForestGeo;Radlk.;serjci;SER1;Radlk.;Serjania circumvallata;2582497;784929-1;Accepted;1;Serjania circumvallata;Serjania circumvallata;Sapindaceae;Radlk.;2582497;784929-1;784929-1;liana;Serjania circumvallata;;L;;;VRAI;FAUX;Serjania circumvallata;VRAI;Climbing;Garwood2009;5577883;Serjania circumvallata Radlk.;EXACT;ACCEPTED;;5577883;Serjania circumvallata Radlk.;EXACT;ACCEPTED;
Serjania cornigera;Serjania cornigera;ForestGeo;Turcz.;serjco;SER2;Turcz.;Serjania cornigera;2582717;784941-1;Accepted;1;Serjania cornigera;Serjania cornigera;Sapindaceae;Turcz.;2582717;784941-1;784941-1;climber;Serjania cornigera;;L;;;VRAI;FAUX;Serjania cornigera;VRAI;Climbing;Garwood2009;5577803;Serjania cornigera Turcz.;EXACT;ACCEPTED;;5577803;Serjania cornigera Turcz.;EXACT;ACCEPTED;
Serjania mexicana;Serjania mexicana;ForestGeo;(L.) Willd.;serjme;SERM;(L.) Willd.;Serjania mexicana;2582781;785062-1;Accepted;1;Serjania mexicana;Serjania mexicana;Sapindaceae;(L.) Willd.;2582781;785062-1;785062-1;liana;Serjania mexicana;;L;;;VRAI;FAUX;Serjania mexicana;VRAI;Climbing;Garwood2009;7705119;Serjania mexicana (L.) Willd.;EXACT;ACCEPTED;;7705119;Serjania mexicana (L.) Willd.;EXACT;ACCEPTED;
