current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Corchorus siliquosus;Corchorus siliquosus;Garwood2009;L.;;;L.;Corchorus siliquosus;2736475;833664-1;Accepted;1;Corchorus siliquosus;Corchorus siliquosus;Malvaceae;L.;2736475;833664-1;833664-1;subshrub or shrub;Corchorus siliquosus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3152091;Corchorus siliquosus L.;EXACT;ACCEPTED;;3152091;Corchorus siliquosus L.;EXACT;ACCEPTED;
Cordia alliodora;Cordia alliodora;ForestGeo;(Ruiz & Pav.) Oken;cordal;CORA;(Ruiz & Pav.) Oken;Cordia alliodora;2736526;113943-1;Accepted;1;Cordia alliodora;Cordia alliodora;Boraginaceae;(Ruiz & Pav.) Oken;2736526;113943-1;113943-1;shrub or tree;Cordia alliodora;;M;;bci50ha, bci10ha, bci25ha, P14, Zetek, AVA, Drayton, Pearson, P10, P13, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;7649215;Cordia alliodora (Ruiz & Pav.) Oken;EXACT;ACCEPTED;;7649215;Cordia alliodora (Ruiz & Pav.) Oken;EXACT;ACCEPTED;
Cordia bicolor;Cordia bicolor;ForestGeo;A. DC.;cordbi;CORB;A.DC.;Cordia bicolor;2736580;274895-2;Accepted;1;Cordia bicolor;Cordia bicolor;Boraginaceae;A.DC.;2736580;274895-2;274895-2;tree;Cordia bicolor;;M;;bci50ha, bci10ha, bci25ha, P14, P11, Zetek, AVA, Drayton, Pearson, P12, gigante1, gigante2, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5660135;Cordia bicolor A.DC. ex A.DC.;EXACT;ACCEPTED;;5660135;Cordia bicolor A.DC. ex A.DC.;EXACT;ACCEPTED;
Cordia lasiocalyx;Cordia lasiocalyx;ForestGeo;Pittier;cordla;CORL;Pittier;Cordia lasiocalyx;2736923;274981-2;Accepted;1;Cordia lasiocalyx;Cordia lasiocalyx;Boraginaceae;Pittier;2736923;274981-2;274981-2;tree;Cordia lasiocalyx;;M;;bci50ha, bci10ha, P14, P11, Zetek, AVA, Pearson, P10, P13, P18, gigante1, gigante_plot;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5661744;Cordia lasiocalyx Pittier;EXACT;ACCEPTED;;5661744;Cordia lasiocalyx Pittier;EXACT;ACCEPTED;
Cordia panamensis;Cordia panamensis;ForestGeo;L. Riley;cordpa;CORP;L.Riley;Cordia panamensis;2737083;275016-2;Accepted;1;Cordia panamensis;Cordia panamensis;Boraginaceae;L.Riley;2737083;275016-2;275016-2;tree;Cordia panamensis;;U;;AVA, P13;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;5341268;Cordia panamensis Riley;EXACT;ACCEPTED;;5341268;Cordia panamensis Riley;EXACT;ACCEPTED;
Cordyline fruticosa;Cordyline fruticosa;Garwood2009;(L.) A.Chev.;;;(L.) A.Chev.;Cordyline fruticosa;303171;533580-1;Accepted;1;Cordyline fruticosa;Cordyline fruticosa;Asparagaceae;(L.) A.Chev.;303171;533580-1;533580-1;shrub or tree;Cordyline fruticosa;;S;;;VRAI;FAUX;;FAUX;;Garwood2009;2766278;Cordyline fruticosa (L.) A.Chev.;EXACT;ACCEPTED;;2766278;Cordyline fruticosa (L.) A.Chev.;EXACT;ACCEPTED;
Coryanthes hunteriana;Coryanthes hunteriana;Garwood2009;Schltr.;;;Schltr.;Coryanthes hunteriana;47624;311763-2;Accepted;1;Coryanthes hunteriana;Coryanthes hunteriana;Orchidaceae;Schltr.;47624;311763-2;311763-2;pseudobulbous epiphyte;Coryanthes hunteriana;Coryanthes maculata Hook. sensu Croat (1978);E;;;VRAI;FAUX;;FAUX;;Garwood2009;2795653;Coryanthes hunteriana Schltr.;EXACT;ACCEPTED;;2795653;Coryanthes hunteriana Schltr.;EXACT;ACCEPTED;
Cosmibuena macrocarpa;Cosmibuena macrocarpa;ForestGeo;(Benth.) Klotzsch ex Walp.;cosmma;;(Benth.) Klotzsch ex Walp.;Cosmibuena macrocarpa;48346;747618-1;Accepted;1;Cosmibuena macrocarpa;Cosmibuena macrocarpa;Rubiaceae;(Benth.) Klotzsch ex Walp.;48346;747618-1;747618-1;tree;Cosmibuena macrocarpa;Cosmibuena skinneri (Oerst.) Hemsl. sensu Croat (1978);E;Cosmibuena macrocarpa;;VRAI;FAUX;;VRAI;Freestanding;Zotz;5334661;Cosmibuena macrocarpa (Benth.) Klotzsch ex Walp.;EXACT;ACCEPTED;;5334661;Cosmibuena macrocarpa (Benth.) Klotzsch ex Walp.;EXACT;ACCEPTED;
Costus allenii;Costus allenii;Garwood2009;Maas;;;Maas;Costus allenii;234556;66816-2;Accepted;1;Costus allenii;Costus allenii;Costaceae;Maas;234556;66816-2;66816-2;perennial or rhizomatous geophyte;Costus allenii;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2756810;Costus allenii Maas;EXACT;ACCEPTED;;2756810;Costus allenii Maas;EXACT;ACCEPTED;
Costus glaucus;Costus glaucus;Garwood2009;Maas;;;Maas;Costus glaucus;234641;66854-2;Accepted;1;Costus glaucus;Costus glaucus;Costaceae;Maas;234641;66854-2;66854-2;rhizomatous geophyte;Costus glaucus;;H;;;VRAI;FAUX;;FAUX;;Garwood2009;2756862;Costus glaucus Maas;EXACT;ACCEPTED;;2756862;Costus glaucus Maas;EXACT;ACCEPTED;
