type,label,value
species,Cyperus odoratus,2715219
species,Cyperus rotundus,2714818
species,Cyperus simplex,2715022
species,Cyperus tenuis,2714958
species,Dalbergia brownei,10668105
species,Dalbergia monetaria-DALBMO-DALM,2968858
species,Dalbergia retusa-DALBRE-DALR,2968539
species,Dalechampia cissifolia-DALECI-DALC,3055812
species,Dalechampia dioscoreifolia-DALEDI-DALD,3055843
species,Dalechampia tiliifolia-DALETI,3055740
species,Damburneya purpurea-NECTPU-NECP,9503920
species,Danaea nodosa,5274880
species,Davilla kunthii-DAVIKU,5681074
species,Davilla nitida-DAVINI-DAVN,5680944
species,Dendropanax arboreus-DENDAR-DENA,3035093
species,Dendropanax caucanus-DENDC1,3035067
species,Dendropanax stenodontus,3035115
species,Dennstaedtia cicutaria,2650784
species,Desmodium adscendens,2967767
species,Desmodium axillare,2967365
species,Desmodium cajanifolium,2967395
species,Desmodium distortum,2967251
species,Desmodium incanum,2967060
species,Desmodium scorpiurus,8293726
species,Desmodium tortuosum,2967221
species,Desmodium triflorum,2967163
species,Desmodium wydlerianum,2967580
species,Desmoncus myriacanthos-DES1OR-DESI,2738781
species,Desmopsis panamensis-DES2PA-DESP,3158129
species,Dialium guianense-DIALGU-DIAG,2971008
species,Diastema racemiferum,5590420
species,Dichaea panamensis,2789905
species,Dichaea trulla,2789983
species,Dichorisandra amabilis,2763611
species,Dicranopteris flexuosa,5275374
species,Didymoglossum ekmanii,3607755
species,Didymoglossum godmanii,3607692
species,Didymoglossum kapplerianum,3607608
species,Didymoglossum kraussii,3607597
species,Didymoglossum ovale,3607383
species,Didymoglossum punctatum,3607318
species,Didymopanax morototoni-SCH2MO-SCHM,3038523
species,Dieffenbachia isthmia,2869418
species,Dieffenbachia longispatha,2869465
species,Dieffenbachia obscurinervia,2869423
species,Digitaria bicornis,5289968
species,Digitaria horizontalis,5289958
species,Digitaria violascens,5289995
species,Dimerandra emarginata,2815832
species,Dimerocostus strobilaceus,2756979
species,Dioclea guianensis-DIOCGU-DIOG,5359611
species,Diodella sarmentosa,3846005
species,Dioscorea alata-DIO1AL-DIO1,2754476
species,Dioscorea hondurensis-DIO1HO,2755391
species,Dioscorea mexicana-DIO1ME,2754517
species,Dioscorea pilosiuscula-DIO1PI-DIOS,2754717
species,Dioscorea polygonoides-DIO1PO-DIOP,2754948
species,Dioscorea trifida-DIO1TR,2755239
species,Dioscorea urophylla-DIO1UR-DIOU,2755057
species,Diospyros artanthifolia-DIO2AR-DIO2,7848675
species,Diplazium grandifolium,2650880
species,Dipteryx oleifera-DIPTPA-DIPP,2947126
species,Disciphania ernstii-DIS1ER,7268790
species,Dolichandra unguis-cati-MACFUN-MACU,5830619
species,Doliocarpus dentatus-DOLIDE-DOLD,7303933
species,Doliocarpus major-DOLIMA-DOL1,3083498
species,Doliocarpus multiflorus-DOLIMU-DOL2,4163413
species,Doliocarpus olivaceus-DOLIOL-DOLO,8862949
species,Dorstenia contrajerva,2984541
species,Dracontium soconuscum,5330706
species,Drymaria cordata,5384509
species,Drymonia serrulata-DRYMSE-DRSE,5590493
species,Dryopteris patula,5275152
species,Drypetes standleyi-DRYPST-DRYS,3075619
species,Echinodorus grisebachii,5328812
species,Eclipta prostrata,5384950
species,Eichhornia azurea,2765950
species,Eichhornia crassipes,2765940
species,Elaeis oleifera-ELAEOL-ELAO,8791596
species,Elaphoglossum doanense,4011506
species,Elaphoglossum hayesii,4011560
species,Elaphoglossum latum,4011933
species,Elaphoglossum lherminieri,8593158
species,Elaphoglossum longicrure,4011483
species,Elaphoglossum peltatum,2651039
species,Eleocharis geniculata,2716850
species,Eleocharis plicarhachis,2717615
species,Elephantopus mollis,5395928
species,Eleusine indica,2705953
species,Eleutheranthera ruderalis,3119915
species,Elleanthus longibracteatus,2839253
species,Elytraria imbricata,3173240
species,Emilia sonchifolia,5401598
species,Entada gigas-ENTAMO-ENTM,2976183
species,Entada polystachya-ENTAPO,2976206
species,Enterolobium cyclocarpum-ENTECY-ENTC,2961150
species,Epidendrum angustisegmentum,5320338
species,Epidendrum bifarium,5319951
species,Epidendrum cardiophorum,5319717
species,Epidendrum chlorocorymbos,5319800
species,Epidendrum coronatum,5320970
species,Epidendrum eburneum,5320078
species,Epidendrum flexuosum,5319849
species,Epidendrum laterale,9739891
species,Epidendrum lockhartioides,5320681
species,Epidendrum nocturnum,5320021
species,Epidendrum radicans,5320619
species,Epidendrum schlechterianum,5320100
species,Epidendrum sculptum,5319815
species,Epidendrum stamfordianum,5320048
species,Epidendrum stangeanum,5320009
species,Epidendrum strobiliferum,5321235
species,Epidendrum umbilliferum,5319797
species,Epiphyllum hookeri,6379095
species,Epiphyllum phyllanthus,5384030
species,Erechtites hieraciifolius,3132457
species,Erycina pusilla,2852481
species,Eryngium foetidum,3034425
species,Erythrina costaricensis-ERY1CO-ERYC,5349770
species,Erythrina fusca-ERY1FU,5349620
species,Erythroxylum macrophyllum-ERY2MA-ERYM,7870294
species,Erythroxylum panamense-ERY2PA-ERYP,3694401
species,Esenbeckia panamensis-ESENPA,5592910
species,Eugenia florida-EUGECO-EUGC,5417919
species,Eugenia galalonensis-EUGEGA-EUGG,5416878
species,Eugenia nesiotica-EUGENE-EUGN,5417636
species,Eugenia oerstediana-EUGEOE-EUGO,5418017
species,Eugenia principium-EUGEPR-EUGP,5417515
species,Eugenia uniflora-EUGEUN-EUGU,5416458
species,Eugenia venezuelensis-EUGEVE-EUGV,5417525
species,Eulophia alta,5311790
species,Euphorbia heterophylla,3064495
species,Fairchildia panamensis-SWARPA-SWAP,2951308
species,Faramea luteovirens-FARALU-FARL,2898057
species,Faramea multiflora-FARAMU,8295089
species,Faramea occidentalis-FARAOC-FARO,2898087
species,Fevillea cordifolia-FEVICO-FEVC,2874555
species,Ficus americana-FICUAM-FIP1,5361926
species,Ficus citrifolia-FICUCI-FICI,5361938
species,Ficus colubrinae-FICUC1-FIC1,5570299
species,Ficus costaricana-FICUC2-FIC2,5569991
species,Ficus dugandii,5572171
species,Ficus insipida-FICUIN-FIIN,6358534
species,Ficus matiziana-FICUBU-FIBU,5571399
species,Ficus maxima-FICUMA-FIMA,5571386
species,Ficus microcarpa,7467639
species,Ficus nymphaeifolia-FICUNY-FINY,5570630
species,Ficus obtusifolia-FICUOB-FIOB,5361910
species,Ficus paraensis-FICUPA-FIPA,5569960
species,Ficus pertusa-FICUPE-FIP2,7944396
species,Ficus popenoei-FICUPO-FIPO,7262862
species,Ficus tonduzii-FICUTO-FITO,5572425
species,Ficus trigonata-FICUTR-FITR,5361896
species,Ficus yoponensis-FICUYO-FIYO,5571280
species,Fimbristylis dichotoma,2708808
species,Fischeria billbergiana-FISCBI-FISB,8235491
species,Fleischmannia microstemon,5399722
species,Fleischmannia sinclairii,9010063
species,Forsteronia acouci-FORSVI-FORV,3618404
